id,title,price,location,rooms,square_meters,listing_date,url,scraped_at
EJ-7c5534d80b,Sönmez Gayrimenkul'den Çarşı Merkezinden 3+1 Kiralık Daire,25.000 ₺,"Hatay, Dörtyol",3+1,165 m²,25.06.2026,https://www.emlakjet.com/ilan/sonmez-gayrimenkul-den-carsi-merkezinden-31-kiralik-daire-19524130,2026-06-25 23:46:21
EJ-b54fe0ddfe,╣goped╠ Güllü Cad. Sadece Devlet Memuru Kiralık 110m2 3+1 3.kat,35.000 ₺,"İstanbul, Gaziosmanpaşa",3+1,130 m²,24.06.2026,https://www.emlakjet.com/ilan/goped-gullu-cad-sadece-devlet-memuru-kiralik-110m2-31-3-kat-19518260,2026-06-25 23:46:21
EJ-def11e693a,Etimesgut Kiralik Daire 3+1 Merkezi Konum,32.000 ₺,"Ankara, Etimesgut",3+1,125 m²,23.06.2026,https://www.emlakjet.com/ilan/etimesgut-kiralik-daire-31-merkezi-konum-19515117,2026-06-25 23:46:21
EJ-f331db20c9,Avcılar Tahtakale'de Kiralık,19.000 ₺,"İstanbul, Avcılar",2+1,75 m²,23.06.2026,https://www.emlakjet.com/ilan/avcilar-tahtakale-de-kiralik-19514209,2026-06-25 23:46:21
EJ-25b41e01b7,Ünalan Kiralık 3+1 Daire Yeni Site İçi Otopark Metro Metrobüs,65.000 ₺,"İstanbul, Üsküdar",3+1,106 m²,22.06.2026,https://www.emlakjet.com/ilan/unalan-kiralik-31-daire-yeni-site-ici-otopark-metro-metrobus-19510635,2026-06-25 23:46:21
EJ-ca7f324950,Ok Emlaktan Ana Cad Üzeri Kiralık 3+1 Daire,17.000 ₺,"Mardin, Kızıltepe",3+1,200 m²,22.06.2026,https://www.emlakjet.com/ilan/ok-emlaktan-ana-cad-uzeri-kiralik-31-daire-19509731,2026-06-25 23:46:21
EJ-ec53c18017,Rota’dan Wins Town Avm Yanı Kiralık 2+1 Hazır Daire,30.000 ₺,"Diyarbakır, Kayapınar",2+1,75 m²,22.06.2026,https://www.emlakjet.com/ilan/rota-dan-wins-town-avm-yani-kiralik-21-hazir-daire-19509334,2026-06-25 23:46:21
EJ-6dde4584cc,Sönmez Gayrimenkul'den Çarşı Merkezinde 3+1 Kiralık Daire,18.000 ₺,"Hatay, Dörtyol",3+1,140 m²,25.06.2026,https://www.emlakjet.com/ilan/sonmez-gayrimenkul-den-carsi-merkezinde-31-kiralik-daire-19524128,2026-06-25 23:46:21
EJ-3d5d866dc6,Muğla Bodrum Akyarlar Eşyalı Daire 2t1 Kiralık 85 M2,80.000 ₺,"Muğla, Bodrum",2+1,86 m²,20.06.2026,https://www.emlakjet.com/ilan/mugla-bodrum-akyarlar-esyali-daire-2t1-kiralik-85-m2-19503873,2026-06-25 23:46:21
EJ-b4fdb1a559,Muğla Yeniköy'de 3+1 Kiralık Daire,35.000 ₺,"Muğla, Menteşe",3+1,150 m²,20.06.2026,https://www.emlakjet.com/ilan/mugla-yenikoy-de-31-kiralik-daire-19502964,2026-06-25 23:46:21
EJ-d636e09bc4,Dr Emlak'tan Tosya Yolu Kiralık 2+1,18.000 ₺,"Kastamonu, Merkez",2+1,110 m²,20.06.2026,https://www.emlakjet.com/ilan/dr-emlak-tan-tosya-yolu-kiralik-21-19502653,2026-06-25 23:46:21
EJ-710a29c4ca,Konut Emlaktan Merkezi Lokasyonda Kiralık 3+1 140m2 Daire,16.000 ₺,"Amasya, Merzifon",3+1,145 m²,20.06.2026,https://www.emlakjet.com/ilan/konut-emlaktan-merkezi-lokasyonda-kiralik-31-140m2-daire-19501632,2026-06-25 23:46:21
EJ-2a031c53a7,Erkan Emlaktan Fahri Kayahan Girişinde Kiralık 3+1 Daire,25.000 ₺,"Malatya, Yeşilyurt",3+1,200 m²,20.06.2026,https://www.emlakjet.com/ilan/erkan-emlaktan-fahri-kayahan-girisinde-kiralik-31-daire-19501423,2026-06-25 23:46:21
EJ-db123b2bd1,Cumhuriyet Mahallesi Satılık 2+1 Eşyalı Merkezi Daire,26.000 ₺,"Sakarya, Adapazarı",2+1,60 m²,19.06.2026,https://www.emlakjet.com/ilan/cumhuriyet-mahallesi-satilik-21-esyali-merkezi-daire-19498340,2026-06-25 23:46:21
EJ-1f6a846f45,Troy Gayrimenkul Mehmet'den Altınşehir Yeşilpark'da Kiralık 2+1,19.000 ₺,"Adıyaman, Merkez",2+1,125 m²,19.06.2026,https://www.emlakjet.com/ilan/troy-gayrimenkul-mehmet-den-altinsehir-yesilpark-da-kiralik-21-19497028,2026-06-25 23:46:21
EJ-9e2e6d9135,Troy Gayrimenkul Yunus Ve Emre'den Bahçelievler De Eşyalı 2+1 Kiralık,16.000 ₺,"Adıyaman, Merkez",2+1,110 m²,19.06.2026,https://www.emlakjet.com/ilan/troy-gayrimenkul-yunus-ve-emre-den-bahcelievler-de-esyali-21-kiralik-19496898,2026-06-25 23:46:21
EJ-790d6a03a5,Akif'ten Ayyıldız'da Ahi Mesut Bulvar Üzeri Site'de 3+1 Kiralık Daire,27.000 ₺,"Ankara, Etimesgut",3+1,110 m²,19.06.2026,https://www.emlakjet.com/ilan/akif-ten-ayyildiz-da-ahi-mesut-bulvar-uzeri-site-de-31-kiralik-daire-19496750,2026-06-25 23:46:21
EJ-7eceefd656,Emre'den Alitaşı Mahallesinde 4+1 Kiralık Daire,24.000 ₺,"Adıyaman, Merkez",4+1,230 m²,18.06.2026,https://www.emlakjet.com/ilan/emre-den-alitasi-mahallesinde-41-kiralik-daire-19494244,2026-06-25 23:46:21
EJ-a831f3f04e,Furkan'dan Bahçelievler'de Kiralık Eşyalı 1+1,16.000 ₺,"Adıyaman, Merkez",1+1,90 m²,18.06.2026,https://www.emlakjet.com/ilan/furkan-dan-bahcelievler-de-kiralik-esyali-11-19494243,2026-06-25 23:46:21
EJ-2670c9efbf,Troy Gayrimenkul Emre'den Altınşehirde Kiralık 1+1,16.000 ₺,"Adıyaman, Merkez",1+1,45 m²,18.06.2026,https://www.emlakjet.com/ilan/troy-gayrimenkul-emre-den-altinsehirde-kiralik-11-19494238,2026-06-25 23:46:21
EJ-da5cbf6224,Troy Gayrimenkul'den Altınşehir'de Kiralık 1+1,18.000 ₺,"Adıyaman, Merkez",1+1,45 m²,18.06.2026,https://www.emlakjet.com/ilan/troy-gayrimenkul-den-altinsehir-de-kiralik-11-19494235,2026-06-25 23:46:21
